# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     66.23     -47.37       2.92       0.00       1.96       0.00       1.79       1.94    1.669    './gold_soln_DecoysActives_m185_2.sdf'             'Compound 178'
     64.58     -47.99       1.60       1.99       1.00       0.00       1.39       2.61    9.354    './gold_soln_DecoysActives_m186_2.sdf'             'Compound 179'
     53.77     -34.00       1.90       1.00       1.99       0.00       0.47       0.04    5.963   './gold_soln_DecoysActives_m187_12.sdf'             'Compound 180'
     57.87     -40.81       0.79       0.94       2.00       0.00       1.61       3.07    0.992    './gold_soln_DecoysActives_m188_1.sdf'             'Compound 181'
     58.80     -45.05       1.00       0.00       1.97       0.00       2.90       4.72    2.309    './gold_soln_DecoysActives_m189_6.sdf'             'Compound 182'
     47.91     -28.71       1.00       0.00       2.77       0.36       0.38       0.69    1.377    './gold_soln_DecoysActives_m190_1.sdf'             'Compound 183'
     52.22     -29.11       1.00       1.00       2.88       0.00       0.09       0.01    0.764    './gold_soln_DecoysActives_m191_2.sdf'             'Compound 184'
     43.90     -26.53       2.00       0.00       1.99       0.00       0.48       0.38    1.539    './gold_soln_DecoysActives_m192_4.sdf'             'Compound 185'
     38.87     -31.95       0.98       0.00       1.00       0.00       1.00       0.00    0.597    './gold_soln_DecoysActives_m193_2.sdf'             'Compound 186'
     51.87     -47.13       0.00       0.00       1.00       0.00       0.65       0.03    1.111    './gold_soln_DecoysActives_m194_2.sdf'             'Compound 187'
     56.13     -40.45       1.72       0.00       1.87       0.00       1.39       2.12   10.306   './gold_soln_DecoysActives_m195_18.sdf'             'Compound 188'
     42.54     -32.72       1.28       0.00       1.00       0.00       1.11       2.20    1.848    './gold_soln_DecoysActives_m196_9.sdf'             'Compound 189'
     44.57     -29.76       1.00       0.00       2.00       0.00       1.19       2.21    2.021    './gold_soln_DecoysActives_m197_3.sdf'             'Compound 190'
     54.73     -33.92       1.24       0.00       2.93       0.01       1.55       2.60    1.278    './gold_soln_DecoysActives_m198_2.sdf'             'Compound 191'
     38.66     -37.55       0.39       0.00       0.00       0.01       0.03       0.00    3.505    './gold_soln_DecoysActives_m199_4.sdf'             'Compound 192'
     51.67     -33.11       0.99       0.00       2.89       0.00       0.88       0.00    3.251    './gold_soln_DecoysActives_m200_8.sdf'             'Compound 193'
     34.46     -21.12       0.85       0.00       2.00       0.00       0.59       0.00    2.605   './gold_soln_DecoysActives_m201_12.sdf'             'Compound 194'
     42.86     -36.47       0.83       1.86       0.00       0.00       0.89       0.10    0.796    './gold_soln_DecoysActives_m202_1.sdf'             'Compound 195'
     34.42     -29.18       2.00       0.00       0.00       0.00       0.38       0.00    2.709   './gold_soln_DecoysActives_m203_18.sdf'             'Compound 196'
     39.79     -29.61       1.00       0.99       1.00       0.00       0.90       0.00    0.730    './gold_soln_DecoysActives_m204_2.sdf'             'Compound 197'
     30.61     -28.66       0.68       0.00       0.00       0.00       0.05       0.00    1.165    './gold_soln_DecoysActives_m205_3.sdf'             'Compound 198'
     58.26     -33.61       1.00       2.00       2.89       0.00       0.85       0.00    0.500    './gold_soln_DecoysActives_m206_1.sdf'             'Compound 199'
     50.46     -33.25       2.00       0.00       2.00       0.00       0.39       0.00    1.119    './gold_soln_DecoysActives_m207_2.sdf'             'Compound 200'
